"objid","ra","dec","g","r","z"
"1237657190905217882","0.0617645890447989","-0.0789799148780472","24.78225","22.30448","0.846146"
"1237657190905217072","0.00645855442724041","-0.0925981681370137","17.8529","16.97191","0.07813291"
"1237663784197423113","0.0498392203439639","0.0403505216741821","17.72815","17.79815","0.479555"
"1237657190905217203","0.0252029701193237","-0.0480291277729431","21.23486","20.20861","0.5410477"
"1237657190905217071","0.0184875793908077","-0.0833543302772769","15.30021","14.51777","0.02376629"
"1237657190905217208","0.03258568849634","-0.0405799798589323","15.69634","15.13674","0.02366391"
"1237663784197423647","0.0694430189430335","0.0896273852756165","22.7001","21.26216","0.6588672"
"1237657190905217611","0.0833057349241244","-0.0912485855453938","19.84148","18.9042","0.1629101"
"1237663784197423503","0.0175453836282653","0.0228942174900431","22.2341","20.60346","0.3307943"
"1237657190905217138","0.053486297728","-0.0912211300200889","17.92544","17.5001","2.417926E-06"
"1237657190905217574","0.059986042227024","-0.00659598049517003","22.17713","20.22431","0.541216"
"1237663784197423294","0.045080075021227","0.0314634063181109","18.3549","17.83853","-0.0001363133"
