,ra,dec
0,49.3939564715284,41.9995839807708
1,49.3797955105832,42.0109554347976
2,49.4122204738763,41.9860743093637
3,49.586774696907,42.0184724726665
4,49.4671640882534,41.941967684355
5,49.4493895669607,41.9395332909242
6,49.4443233955025,41.9490663227721
7,49.4404965095645,41.9527401813491
8,49.4107831626595,41.9501670905701
9,49.3950731668451,41.9558794355273
10,49.3691050937867,41.9658739802261
11,49.4452515579494,41.9355932884505
12,49.4458279921491,41.9341639184912
13,49.4432847775985,41.9366698002264
14,49.4276763920065,41.9847514941836
15,49.4266127456622,41.9804423226342
16,49.4274949004522,41.9808361527814
17,49.4269482684576,41.9466138633737
18,49.9970632061384,41.3653047476878
19,49.9986892775511,41.3714885632015
20,50.0056724465691,41.3889957539225
21,49.9542790148469,41.3746236393857
22,50.0041328238605,41.3784518873809
23,49.9916830729076,41.390929677978
24,49.9641865712159,41.3786475537913
25,49.9580670411777,41.3748180336204
26,49.9655917481467,41.3872083773783
27,49.2724398778425,41.7245478566945
28,49.2746737567863,41.7354887789606
29,49.2754275011422,41.7387553111547
30,49.273498547073,41.7508734789906
31,49.2627333068567,41.7562017418346
32,49.5596604692988,41.9488821762911
33,49.6091632708678,41.9892831320841
34,49.6111814769463,41.9903446021651
35,49.4866774118644,41.9297774379617
36,49.5281487198414,41.9517276246025
37,49.5993380698324,41.9899790420853
38,49.57050778079,41.9441324545794
39,49.5734280707804,41.940718347086
40,49.5511802533292,41.9572211049162
41,49.5051265013776,41.9538456292854
42,49.5145945745998,41.9604074126781
43,49.5251516839269,41.9722555392742
44,49.5213508149229,41.962349790639
45,49.5366769896191,41.9780350157264
46,49.5597756629571,41.9971394020044
47,49.5302079709312,41.9639616605724
48,49.5420449318449,41.9734532638687
49,49.5178933871713,41.9350250753703
50,49.5651465223772,41.9886689387412
51,49.5672402451505,41.9875477935616
52,49.5526868755105,41.9643005221891
53,49.5525563225444,41.9616216889811
54,49.5469407224921,41.9576423345072
55,49.5755513618702,41.9849899721657
56,49.5887816473422,41.9984623220947
57,49.5543228283145,41.9586005715938
58,49.5523270877172,41.937259881334
59,49.5567177383483,41.9350519886365
60,49.5652396514603,41.9358368756996
61,49.5671731236282,41.9333201641523
62,49.6017364710685,41.9348515543896
63,49.5988837330655,41.9316772673706
64,49.5304239179178,41.9824519399669
65,49.5818972287893,41.9668096131121
66,49.6971370270714,41.8016271214654
67,49.7185624639558,41.8029940410326
68,49.8777323852396,41.9327043122891
69,49.7862219529861,41.7706341135629
70,49.8017566685739,41.7967646863571
71,49.8126056649785,41.7895819607624
72,49.8207833887183,41.7959178838887
73,49.7496157363791,41.7943359956883
74,49.7633594425752,41.7947223919714
75,49.7550721141306,41.7831303363572
76,49.7562492810114,41.7832740616447
77,49.7664188723458,41.7920742416185
78,49.81218359254,41.7945521409102
79,49.8042594321088,41.775767886674
80,49.7950383107641,41.7635405053457
81,49.8841539954622,41.9196340998608
82,49.9981319729495,42.2432395593353
83,50.4438635768271,41.6732631690444
84,50.4110137402109,41.685192089221
85,49.9168216189353,41.927302360002
86,49.901143303568,41.8704541916321
87,49.9072263306462,41.9132515249889
88,50.1481149804757,42.2441282172087
89,50.0732241421258,42.1384506285502
90,50.1148023283643,42.1640275891894
91,50.2068999820198,42.2176398218487
92,50.2101267784932,42.2200807136589
93,50.1000891709321,42.1688290426989
94,50.0759594439087,42.1455614915247
95,50.0998557239202,42.183217553162
96,50.101623818567,42.1836186263742
97,50.0571487786364,42.1382085272762
98,50.0803842936973,42.1868724821912
99,50.0959971674228,42.2394567468176
